term,estimate,std.error,statistic,p.value,conf.low,conf.high
eng_factorNot well,1.173,0.132,1.207,0.228,0.904,1.521
eng_factorWell,1.324,0.142,1.981,0.048,1.002,1.748
eng_factorVery well,1.862,0.163,3.808,0,1.351,2.563
lang_isolated,1.1,0.098,0.98,0.327,0.909,1.332
edu_collapsedHS/GED,1.093,0.108,0.819,0.413,0.883,1.352
edu_collapsedSome college/Assoc.,1.085,0.124,0.658,0.511,0.852,1.383
edu_collapsedBachelor's+,1.85,0.126,4.878,0,1.446,2.37
age_num,1.316,0.021,12.849,0,1.262,1.372
I(age_num^2),0.997,0,-12.79,0,0.996,0.997
yrs_us,1.013,0.011,1.155,0.248,0.991,1.036
I(yrs_us^2),1,0,-1.721,0.085,0.999,1
origin_regionAsia,0.999,0.094,-0.014,0.989,0.831,1.2
origin_regionAfrica,1.269,0.147,1.625,0.104,0.955,1.698
origin_regionEurope,1.209,0.145,1.309,0.191,0.912,1.61
origin_regionNorthern America,0.374,0.703,-1.398,0.162,0.096,1.617
origin_regionOceania,23130.311,181.956,0.055,0.956,0,NA
SEX2,0.573,0.08,-7.012,0,0.49,0.669
married_bin,1.049,0.108,0.448,0.654,0.849,1.295
hh_supergroupSingle householder with family,0.978,0.116,-0.189,0.85,0.78,1.23
hh_supergroupNonfamily / solo households,1.328,0.139,2.038,0.042,1.013,1.749
