"Variable","OLS","Heckman","Difference","OLS_pct","Heckman_pct"
"Bachelor's+",0.0775,0.1023,0.0248,8.1,10.8
"Some college",-0.0247,-0.0733,-0.0487,-2.4,-7.1
"HS/GED",0.0618,0.0647,0.0028,6.4,6.7
"English: Very well",0.1553,0.253,0.0976,16.8,28.8
"English: Well",0.0186,0.0684,0.0497,1.9,7.1
"English: Not well",-0.1298,-0.1338,-0.004,-12.2,-12.5
"Lang. isolated",-0.1081,-0.1112,-0.0031,-10.2,-10.5
"Years in U.S.",0.0103,0.014,0.0038,1,1.4
"Female",-0.2211,-0.2523,-0.0313,-19.8,-22.3
"Origin: Europe",0.3073,0.134,-0.1732,36,14.3
"Origin: Asia",0.0814,-0.0728,-0.1541,8.5,-7
