GEOID,NAME,inc_n,fem_n,sexf_n,inc_pct,gi_z,gi,lisa,lisa_sig,streetlight_n,poor_pave_ft,street_ft,sidewalk_n,dist_subway_km,vacant_n,aband_n,poverty_rate,renter_share,vacancy_rate,female_pop,total_pop
36005037600,Census Tract 376; Bronx County; New York,88,28,0,4.160756501182033,1.1704984882470337,Not significant,Not significant,Not significant,31,6356.679311374799,45870.0695761326,12,0.3923850113982767,2,1,0.23782505910165486,0.6571056062581486,0.050742574257425746,951,2115
36005023502,Census Tract 235.02; Bronx County; New York,270,99,0,6.013363028953229,2.208487382622502,Hot 95%,High-High,p <= 0.05,21,35215.33079578167,83808.69812519648,2,0.17793740367023303,4,0,0.3070626753975678,0.9553728714034058,0.01787773933102653,2806,4490
36005006400,Census Tract 64; Bronx County; New York,194,71,0,4.625655698617072,2.7151833831944137,Hot 95%,High-High,p <= 0.05,63,5284.225221037895,47490.66506460623,14,0.41979495367597813,4,12,0.41218549580661074,0.8348157560355781,0.052948255114320095,2173,4194
36005039100,Census Tract 391; Bronx County; New York,488,208,0,8.038214462197331,3.672135643178259,Hot 95%,High-High,p <= 0.05,110,11106.636274784403,117457.38110587928,88,1.1944714313114677,10,15,0.3361441798941799,0.9510905485789821,0.043010752688172046,2506,6071
36005038000,Census Tract 380; Bronx County; New York,321,141,0,6.390603225164244,0.31111539735906457,Not significant,Not significant,Not significant,55,19858.903942644836,97504.7218256505,9,0.3247169421399833,10,10,0.44934010152284265,0.7000946073793756,0.07966913365259033,2979,5023
36005008900,Census Tract 89; Bronx County; New York,382,199,82,12.953543574092913,5.527017101943571,Hot 99%,High-High,p <= 0.001,55,10274.859238598508,43831.70423116174,23,0.3464950670920099,3,0,0.2583076396026036,0.9494799405646359,0.054775280898876406,1598,2949
36005022401,Census Tract 224.01; Bronx County; New York,163,77,0,6.6995478832716815,1.6335592585776753,Not significant,Not significant,Not significant,66,6596.234236506669,26167.0535155783,9,0.2546836850413428,1,1,0.23057953144266338,0.7937823834196891,0.09813084112149532,1299,2433
36005038200,Census Tract 382; Bronx County; New York,131,62,0,4.41970310391363,0.6062989798571577,Not significant,Not significant,Not significant,77,2566.1177667686616,55421.65995894517,7,0.9626838022791858,19,7,0.16547497446373852,0.4963805584281282,0.025201612903225805,1727,2964
36005022701,Census Tract 227.01; Bronx County; New York,240,107,0,4.856333468231485,0.9889591280279937,Not significant,Not significant,Not significant,62,10658.631980678349,44152.41466475096,9,0.1275789775217067,1,1,0.2873051224944321,0.9837037037037037,0,2832,4942
36005019500,Census Tract 195; Bronx County; New York,494,168,0,6.384078573274748,5.103541715987257,Hot 99%,High-High,p <= 0.01,88,15245.778268930988,100172.33460383858,24,0.38986096269402143,2,1,0.3974560525939688,0.9929707732149463,0,3497,7738
36005026500,Census Tract 265; Bronx County; New York,400,145,0,5.7920648711265565,3.8501547356843178,Hot 99%,High-High,p <= 0.01,78,15142.943593123931,80619.92649393636,60,0.3141093613505787,3,2,0.15155078641775688,0.9610270518110958,0.046765734265734264,3487,6906
36005031200,Census Tract 312; Bronx County; New York,93,37,0,6.245802552048355,0.1658346714719379,Not significant,Not significant,Not significant,111,14520.210178217465,97830.1014178457,19,0.8944065052045665,1,0,0.11601085481682497,0.45864661654135336,0.08747855917667238,818,1489
36005021200,Census Tract 212; Bronx County; New York,59,23,0,1.1086057872980082,0.6240549991447862,Not significant,Not significant,Not significant,46,5579.56094519508,11891.000002617142,5,0.3571349972775483,0,0,0.21195860482943657,0.6490322580645161,0.06813627254509018,2559,5322
36005020100,Census Tract 201; Bronx County; New York,319,129,0,8.296488946684006,2.024592970986526,Not significant,Not significant,Not significant,119,11302.222498699859,57640.673812164794,21,0.8033446922928269,17,0,0.4455136540962289,1,0.040273037542662114,2267,3845
